Gene,term,References,Evidence,,Type_GO,product_name,,type,,Date,,,,
HSP90AA1,GO:0005515,PMID:27353360,IPI,UniProtKB:O95433,F,Heat shock protein HSP 90-alpha,HSP90A|HSPC1|HSPCA,protein,NCBITaxon:9606,20161004,UniProt,,,
HSP90AA1,GO:0005515,PMID:27353360,IPI,UniProtKB:P31948,F,Heat shock protein HSP 90-alpha,HSP90A|HSPC1|HSPCA,protein,NCBITaxon:9606,20161004,UniProt,,,
HSP90AA1,GO:0005515,PMID:27353360,IPI,UniProtKB:P53041,F,Heat shock protein HSP 90-alpha,HSP90A|HSPC1|HSPCA,protein,NCBITaxon:9606,20161004,UniProt,,,
HSP90AA1,GO:0005515,PMID:27353360,IPI,UniProtKB:Q15185,F,Heat shock protein HSP 90-alpha,HSP90A|HSPC1|HSPCA,protein,NCBITaxon:9606,20161004,UniProt,,,
HSP90AA1,GO:0005515,PMID:27353360,IPI,UniProtKB:Q16543,F,Heat shock protein HSP 90-alpha,HSP90A|HSPC1|HSPCA,protein,NCBITaxon:9606,20161004,UniProt,,,
HSP90AA1,GO:0005515,PMID:27353360,IPI,UniProtKB:Q8NFG4,F,Heat shock protein HSP 90-alpha,HSP90A|HSPC1|HSPCA,protein,NCBITaxon:9606,20161004,UniProt,,,
HSP90AA1,GO:0005515,PMID:27353360,IPI,UniProtKB:Q8TF40,F,Heat shock protein HSP 90-alpha,HSP90A|HSPC1|HSPCA,protein,NCBITaxon:9606,20161004,UniProt,,,
HSP90AA1,GO:0005515,PMID:27353360,IPI,UniProtKB:Q9P278,F,Heat shock protein HSP 90-alpha,HSP90A|HSPC1|HSPCA,protein,NCBITaxon:9606,20161004,UniProt,,,
HSP90AA1,GO:0005515,PMID:27353360,IPI,UniProtKB:Q9UNE7,F,Heat shock protein HSP 90-alpha,HSP90A|HSPC1|HSPCA,protein,NCBITaxon:9606,20161004,UniProt,,,
HSP90AA1,GO:0005515,PMID:27880917,IPI,UniProtKB:P53041,F,Heat shock protein HSP 90-alpha,HSP90A|HSPC1|HSPCA,protein,NCBITaxon:9606,20240406,IntAct,,,
HSP90AA1,GO:0005515,PMID:28330616,IPI,UniProtKB:P53041,F,Heat shock protein HSP 90-alpha,HSP90A|HSPC1|HSPCA,protein,NCBITaxon:9606,20240406,IntAct,,,
HSP90AA1,GO:0005515,PMID:29079741,IPI,UniProtKB:Q13451,F,Heat shock protein HSP 90-alpha,HSP90A|HSPC1|HSPCA,protein,NCBITaxon:9606,20240406,IntAct,,,
HSP90AA1,GO:0005515,PMID:29127155,IPI,UniProtKB:O95433,F,Heat shock protein HSP 90-alpha,HSP90A|HSPC1|HSPCA,protein,NCBITaxon:9606,20180306,UniProt,,,
HSP90AA1,GO:0005515,PMID:29127155,IPI,UniProtKB:P31948|UniProtKB:Q92574,F,Heat shock protein HSP 90-alpha,HSP90A|HSPC1|HSPCA,protein,NCBITaxon:9606,20180306,UniProt,,,
HSP90AA1,GO:0005515,PMID:29127155,IPI,UniProtKB:P49815|UniProtKB:Q92574,F,Heat shock protein HSP 90-alpha,HSP90A|HSPC1|HSPCA,protein,NCBITaxon:9606,20180306,UniProt,,,
HSP90AA1,GO:0005515,PMID:29433126,IPI,UniProtKB:Q8IVT5,F,Heat shock protein HSP 90-alpha,HSP90A|HSPC1|HSPCA,protein,NCBITaxon:9606,20190709,UniProt,,,
HSP90AA1,GO:0005515,PMID:30833792,IPI,UniProtKB:Q99558,F,Heat shock protein HSP 90-alpha,HSP90A|HSPC1|HSPCA,protein,NCBITaxon:9606,20240406,IntAct,,,
HSP90AA1,GO:0005515,PMID:31361762,IPI,UniProtKB:Q13127,F,Heat shock protein HSP 90-alpha,HSP90A|HSPC1|HSPCA,protein,NCBITaxon:9606,20240406,IntAct,,,
HSP90AA1,GO:0005515,PMID:31467278,IPI,UniProtKB:P04150,F,Heat shock protein HSP 90-alpha,HSP90A|HSPC1|HSPCA,protein,NCBITaxon:9606,20240406,IntAct,,,
HSP90AA1,GO:0005515,PMID:31980649,IPI,UniProtKB:P00533,F,Heat shock protein HSP 90-alpha,HSP90A|HSPC1|HSPCA,protein,NCBITaxon:9606,20240406,IntAct,,,
